time,IRL,VDS,VAC,Unnamed: 4
0.41628,3.24727e-05,4.99675,1.65694,
0.41728,2.72953e-05,4.99727,1.63897,
0.41828,2.27108e-05,4.99773,1.62095,
0.41928,1.86951e-05,4.99813,1.60285,
0.42028,1.52188e-05,4.99848,1.5847,
0.42128,1.22469e-05,4.99878,1.56648,
0.42228,9.73971e-06,4.99903,1.5482,
0.42328,7.65381e-06,4.99923,1.52986,
0.42428,5.94313e-06,4.99941,1.51145,
0.42528,4.56055e-06,4.99954,1.49299,
0.42628,3.45946e-06,4.99965,1.47447,
0.42728,2.59523e-06,4.99974,1.45589,
0.42828,1.92649e-06,4.99981,1.43726,
0.42928,1.41605e-06,4.99986,1.41857,
0.43028,1.03146e-06,4.9999,1.39982,
0.43128,7.452e-07,4.99993,1.38101,
0.43228,5.34506e-07,4.99995,1.36215,
0.43328,3.81019e-07,4.99996,1.34324,
0.43428,2.70242e-07,4.99997,1.32428,
0.43528,1.90958e-07,4.99998,1.30526,
0.43628,1.34635e-07,4.99999,1.28619,
0.43728,9.48867e-08,4.99999,1.26707,
0.43828,6.69986e-08,4.99999,1.2479,
0.43928,4.75322e-08,5.0,1.22868,
0.44028,3.40044e-08,5.0,1.20941,
0.44128,2.46408e-08,5.0,1.1901,
0.44228,1.81808e-08,5.0,1.17073,
0.44328,1.37375e-08,5.0,1.15132,
0.44428,1.06882e-08,5.0,1.13187,
0.44528,8.60032e-09,5.0,1.11237,
0.44628,7.17229e-09,5.0,1.09283,
0.44728,6.1971e-09,5.0,1.07324,
0.44828,5.53076e-09,5.0,1.05361,
0.44928,5.07577e-09,5.0,1.03394,
0.45028,4.76395e-09,5.0,1.01423,
0.45128,4.55012e-09,5.0,0.994482,
0.45228,4.40206e-09,5.0,0.974692,
0.45328,4.29923e-09,5.0,0.954864,
0.45428,4.22628e-09,5.0,0.934997,
0.45528,4.1742e-09,5.0,0.915094,
0.45628,4.13549e-09,5.0,0.895155,
0.45728,4.10645e-09,5.0,0.87518,
0.45828,4.08321e-09,5.0,0.855171,
0.45928,4.06454e-09,5.0,0.835128,
0.46028,4.04822e-09,5.0,0.815052,
0.46128,4.03414e-09,5.0,0.794944,
0.46228,4.02085e-09,5.0,0.774805,
0.46328,4.00876e-09,5.0,0.754634,
0.46428,3.99675e-09,5.0,0.734435,
0.46528,3.98546e-09,5.0,0.714206,
0.46628,3.97394e-09,5.0,0.693949,
0.46728,3.96293e-09,5.0,0.673664,
0.46828,3.95154e-09,5.0,0.653353,
0.46928,3.94057e-09,5.0,0.633016,
0.47028,3.92916e-09,5.0,0.612655,
0.47128,3.91814e-09,5.0,0.592269,
0.47228,3.90665e-09,5.0,0.571859,
0.47328,3.89552e-09,5.0,0.551427,
